GO	x2	list1InGO	list1OutGO	list2InGO	list2OutGO
GO:0006511	 0.673245980960619 	1	17	289	18398
GO:0006520	 0.669776186884143 	2	16	1112	17575
GO:0006725	 0.731229966514294 	4	14	3072	15615
GO:0006753	 0.99999999999999 	1	17	722	17965
GO:0006793	 0.678030724590928 	3	15	2026	16661
GO:0006796	 0.647941464443864 	3	15	1976	16711
GO:0006807	 0.766363989519227 	5	13	4128	14559
GO:0006810	 0.687206146831498 	2	16	3270	15417
GO:0006928	 0.545071699723668 	2	16	966	17721
GO:0006950	 0.733458470321136 	1	17	2024	16663
GO:0006974	 0.999999999999998 	1	17	544	18143
GO:0006996	 0.132490920711655 	4	14	1717	16970
GO:0007005	 0.305566463079894 	1	17	135	18552
GO:0007006	 0.0220385540599163 	1	17	41	18646
GO:0007007	 0.000241619455370796 	1	17	17	18670
GO:0007010	 0.158653768328775 	2	16	527	18160
GO:0007017	 0.0679560061531736 	2	16	396	18291
GO:0007018	 0.424628902833282 	1	17	177	18510
GO:0007067	 0.355702340313145 	1	17	152	18535
GO:0007165	 0.241074562164461 	2	16	4862	13825
GO:0007166	 0.352714545507375 	1	17	3076	15611
GO:0007167	 0.99999999999994 	1	17	591	18096
GO:0007169	 0.902561105432003 	1	17	437	18250
GO:0007411	 0.634893111402938 	1	17	269	18418
GO:0007507	 0.243372422401131 	1	17	115	18572
GO:0008053	 1.93036238146248e-06 	1	17	10	18677
GO:0008092	 0.999999999998181 	1	17	649	18038
GO:0008104	 0.648569300948116 	1	17	276	18411
GO:0008150	 0.941889289081417 	16	2	15978	2709
GO:0008152	 0.999999999999993 	7	11	7598	11089
GO:0008219	 0.927950894627677 	1	17	457	18230
GO:0008233	 0.251414061446639 	2	16	638	18049
GO:0008234	 0.302536061813135 	1	17	134	18553
GO:0008237	 0.455736860493939 	1	17	189	18498
GO:0008238	 0.18183540157525 	1	17	96	18591
GO:0008242	 5.23035499918664e-05 	1	17	14	18673
GO:0008270	 0.116054562270359 	4	14	1661	17026
GO:0008283	 0.981440148829647 	1	17	502	18185
GO:0008285	 0.975728141623947 	1	17	497	18190
GO:0008406	 0.129590638025744 	1	17	80	18607
GO:0008543	 0.217674600266215 	1	17	107	18580
GO:0009056	 0.223127187710476 	4	14	1980	16707
GO:0009057	 0.0763072701236412 	3	15	911	17776
GO:0009058	 0.590822247760404 	1	17	2342	16345
GO:0009059	 0.999999999998981 	1	17	1343	17344
GO:0009069	 0.994928412386934 	1	17	514	18173
GO:0009116	 0.999999999998389 	1	17	575	18112
GO:0009117	 0.999999999998293 	1	17	717	17970
GO:0009119	 0.999999999999596 	1	17	554	18133
GO:0009141	 0.958255545496708 	1	17	482	18205
GO:0009143	 0.822348660854666 	1	17	379	18308
GO:0009144	 0.941473629064454 	1	17	468	18219
GO:0009146	 0.817903184510356 	1	17	376	18311
GO:0009150	 0.999999999999949 	1	17	548	18139
GO:0009154	 0.849789765628053 	1	17	398	18289
GO:0009164	 0.856813801131687 	1	17	403	18284
GO:0009166	 0.881457558803574 	1	17	421	18266
GO:0009199	 0.942688033541131 	1	17	469	18218
GO:0009203	 0.814921878990254 	1	17	374	18313
GO:0009205	 0.936591332731717 	1	17	464	18223
GO:0009207	 0.814921878990254 	1	17	374	18313
GO:0009259	 0.999999999999015 	1	17	564	18123
GO:0009261	 0.851200969511428 	1	17	399	18288
GO:0009434	 0.000362410190954309 	1	17	18	18669
GO:0009719	 0.999999999999875 	1	17	961	17726
GO:0009889	 0.999999999999819 	3	15	3142	15545
GO:0009890	 0.999999999999976 	1	17	1008	17679
GO:0009892	 0.99999999999992 	1	17	1440	17247
GO:0009893	 0.713447179902643 	1	17	2065	16622
GO:0009894	 0.999999999999063 	1	17	702	17985
GO:0009987	 0.99999999999969 	12	6	12889	5798
GO:0010033	 0.999999999999991 	2	16	1684	17003
GO:0010468	 0.99999999999998 	3	15	3148	15539
GO:0010506	 0.0541625033051621 	1	17	55	18632
GO:0010556	 0.999999999999995 	3	15	3000	15687
GO:0010558	 0.999999999999996 	1	17	947	17740
GO:0010564	 0.819388525843261 	1	17	377	18310
GO:0010604	 0.801430362391603 	1	17	1892	16795
GO:0010605	 0.999999999999952 	1	17	1321	17366
GO:0010608	 0.932903443586875 	1	17	461	18226
GO:0010629	 0.999999999999972 	1	17	856	17831
GO:0010639	 0.532904369654386 	1	17	221	18466
GO:0010948	 0.523693106769872 	1	17	217	18470
GO:0015031	 0.999999999999971 	1	17	1116	17571
GO:0016020	 0.487279328911741 	3	15	4988	13699
GO:0016021	 0.0773681713366861 	1	17	5003	13684
GO:0016043	 0.447805370160383 	5	13	3383	15304
GO:0016070	 0.999999999999757 	1	17	1363	17324
GO:0016192	 0.999999999998933 	1	17	635	18052
GO:0016197	 0.274874062997586 	1	17	125	18562
GO:0016265	 0.93043225219451 	1	17	459	18228
GO:0016301	 0.999999999999973 	1	17	871	17816
GO:0016310	 0.455280271016842 	2	16	865	17822
GO:0016459	 0.188380153433881 	1	17	98	18589
GO:0016462	 0.0695947245531546 	3	15	890	17797
GO:0016485	 0.13282533661378 	1	17	81	18606
GO:0016579	 0.145829289354116 	1	17	85	18602
GO:0016740	 0.763158885184497 	1	17	1965	16722
GO:0016772	 0.999999999999995 	1	17	1011	17676
GO:0016773	 0.999999999999933 	1	17	754	17933
GO:0016787	 0.173216873039244 	5	13	2595	16092
GO:0016788	 0.379396768033301 	2	16	781	17906
GO:0016790	 0.191649173466561 	1	17	99	18588
GO:0016817	 0.0727518958515984 	3	15	900	17787
GO:0016818	 0.0705343358858751 	3	15	893	17794
GO:0017016	 0.274874062997586 	1	17	125	18562
GO:0017076	 0.600700071733778 	3	15	1898	16789
GO:0017111	 0.440877102251946 	2	16	849	17838
GO:0017137	 0.0438787564749893 	1	17	51	18636
GO:0019001	 0.911568961682044 	1	17	444	18243
GO:0019219	 0.893346045375493 	4	14	3405	15282
GO:0019222	 0.885617783919225 	4	14	4952	13735
GO:0019439	 0.542439682370351 	2	16	963	17724
GO:0019538	 0.791760661478867 	4	14	3195	15492
GO:0019637	 0.999999999999818 	1	17	1091	17596
GO:0019693	 0.999999999998843 	1	17	567	18120
GO:0019752	 0.912444958006462 	2	16	1428	17259
GO:0019783	 0.032184442793089 	1	17	46	18641
GO:0019899	 0.164829831918441 	3	15	1133	17554
GO:0019904	 0.999999999998107 	1	17	580	18107
GO:0019941	 0.684331771808321 	1	17	295	18392
GO:0022402	 0.480388613019617 	2	16	893	17794
